"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","testing-orderoptical-com, testazure-downloadwink-com, nikon-b2b-qa-downloadwink-com, eradvantage-azure-downloadwink-com, eradvantage-downloadwink-com, nikon-integrated-wink-nikonlenswear-com, antoinelaoun-orderoptical-com, optoreseau-orderoptical-com, independentlabs-orderoptical-com, topologynikon-orderoptical-com, machineinterface-downloadwink-com, akal-orderoptical-com, testing-downloadwink-com, plasticplus-orderoptical-com, shamir-orderoptical-com, visionalliance-orderoptical-com, orderoptical-com-2bb4, www-orderoptical-com, csrriverside-orderoptical-com, riverside-orderoptical-com, demoehr-orderoptical-com, csressilor-orderoptical-com, orderoptical-essilorsource-ca, nikon-csr-downloadwink-com-9113","download-wink","winkwebnikon","/","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","testing-orderoptical-com, testazure-downloadwink-com, nikon-b2b-qa-downloadwink-com, eradvantage-azure-downloadwink-com, eradvantage-downloadwink-com, nikon-integrated-wink-nikonlenswear-com, antoinelaoun-orderoptical-com, independentlabs-orderoptical-com, topologynikon-orderoptical-com, optoreseau-orderoptical-com, machineinterface-downloadwink-com, akal-orderoptical-com, testing-downloadwink-com, plasticplus-orderoptical-com, shamir-orderoptical-com, visionalliance-orderoptical-com, www-orderoptical-com, orderoptical-com-2bb4, riverside-orderoptical-com, demoehr-orderoptical-com, csressilor-orderoptical-com, csrriverside-orderoptical-com, orderoptical-essilorsource-ca, nikon-csr-downloadwink-com-9113","download-wink","winkwebnikon2","/Web, /Web/*","winkwebfornikonnew","wink-prod-winkweb-fromaws-new-fnhnffddcdaxf2f3.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTvEHR-409","/WinkRESTvEHR-409/*","EHR-409-rest","wink-ehr409-rest.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkOnlineBookingStaticRule","/winkonlinebookingV2/*","WinkOnlineBookingStatic","wnkonlinebookingstorage.z9.web.core.windows.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, orderoptical-essilorsource-ca, download-wink-azurefd-net","download-wink","WinkWebSocket","/WinkWebSocket/*","WinkWebSocket","winkwebsocket.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRestvWinkWeb1208","/WinkRESTvWinkWeb1208/*","winkrestvwinkweb1208","winkrestvwinkweb1208-a9hte3eyeueqbsad.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","wink-prod-winkehr","/wink-ehr/*","wink-prod-winkehr","wink-prod-app-winkehr-bsbbgphub5akh9ag.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","wink-prod-winkehr-rest","/wink-ehr-rest/*","wink-prod-winkehr-rest","wink-prod-app-winkehr-rest-etcjhje0e4hadfdp.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6001208a","/WinkHolderRESTv6.00.12.08a/*","6001208a-hold","wink-prod-app-winkhold-6001208a-can-central-cgf8dub2f0gce7gm.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6001208a","/WinkRESTv6.00.12.08a/*","6001208a-rest","wink-prod-app-winkrest-6001208a-can-central-d3f3e3bmdzamfseg.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6001208a-hold-loblaw","/WinkHolderRESTv6.00.12.08a/*","6001208a-hold-loblaw","wink-prod-winkhold-6001208a-loblaw-fkdda0ategbbemg6.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","6001208a-rest-loblaw","/WinkRESTv6.00.12.08a/*","6001208a-rest-loblaw","wink-prod-app-winkrest-6001208a-loblaw-geexe4f2grhzfqdt.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6001208b","/WinkHolderRESTv6.00.12.08b/*","6001208b-hold","wink-prod-app-winkhold-6001208b-can-central-bdceh6afgvcjhyfh.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6001208b","/WinkRESTv6.00.12.08b/*","6001208b-restfull","wink-prod-app-winkrest-6001208b-can-central-c3atesa8aybegyfa.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","loblaw-6001208b-rest","/WinkRESTv6.00.12.08b/*","6001208b-rest-loblaw","wink-prod-app-winkrest-6001208b-loblaw-ehc7eydtbjhzf3da.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkHolderRESTv600120b-ss","/WinkHolderRESTv6.00.12.08b/*","WinkHolderRESTv600120b-ss","wink-prod-app-hold-6001208b-ss-can-central-chdga4cwabewcugw.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkRESTv6001208b-ss","/WinkRESTv6.00.12.08b/*","WinkRESTv6001208b-ss","wink-prod-app-winkrest-6001208b-ss-g4dpdbejhrfzfadh.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","loblaw-6001208b-holder","/WinkHolderRESTv6.00.12.08b/*","6001208b-loblaw-hold","wink-prod-winkhold-6001208b-loblaw-g5h7d5brejakhqhg.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6001209","/WinkHolderRESTv6.00.12.09/*","6001209-hold","wink-prod-app-winkhold-6001209-can-central-gnb0gdfta8ecdmg3.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkRESTv6001209","/WinkRESTv6.00.12.09/*","6001209-rest-new-subscription","wink-prod-new-winkrest-6001209-can-central-fsgge3bbhkgef8e5.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com","download-wink","WinkHolderRESTv6001209a","/WinkHolderRESTv6.00.12.09a/*","6001209a-hold","wink-prod-app-winkhold-6001209a-can-central-f7fyc6d5a0ezghbj.canadacentral-01.azurewebsites.net"
